id;category;model;time_total;time_read;time_write;input_tokens;output_tokens;tps_read;tps_write;question;model_answer;ground_truth;context_snippet;score
603;Reasoning & Synthesis;llama3.1:8b;0.729;0.164;0.453;2063;66;12594.23;145.83;Was passiert, wenn der Ball beim Kickoff out of bounds landet?;Wenn der Ball beim Kickoff aus dem Spielfeld fliegt (out of bounds), kann die Empfangsseite den Ball an der Grenze wieder in das Spiel bringen und ihn 25 Yards von der Stelle des Tackles aufnehmen, wobei sie zwischen verschiedenen Optionen wählen können.;Das ist ein Foul. Wenn ein Kickoff oder Onside Kick versucht wurde darf die Offense wählen ob: der Ball am Spot des Fouls, oder 25 Yards vor dem Kick-Punkt. Wenn ein Saftey Kick versucht wurde sind es 30 Yards.;"SECTION 2 OTHER FREE KICK FOULS
ARTICLE 1. BLOCKIN...";0.5
103;Regulatory Constraints;gemini-3-flash-preview;11.105;0.0;0.0;716;26;0.0;2.34;Darf das Spielfeld blau sein?;Die Oberfläche des gesamten field of play muss in einem von der League genehmigten Grünton (shade of green) gehalten sein.;Nein. Die Oberfläche muss ein von der Liga genehmigter Grünton sein.;"SECTION 1 DIMENSIONS
ARTICLE 1. PLAYING LINES. The...";1.0
704;Regulatory Constraints;llama3.3:70b;2.639;0.064;2.392;2062;75;32074.34;31.35;Kann nur ein Defensive-Spieler im Offside sein?;Nein, es kann auch ein Offensive-Spieler im Offside sein, wenn er sich in oder jenseits der neutralen Zone befindet, bevor der Ball gespielt wird. Ein Spieler ist offside, wenn irgendein Teil seines Körpers in oder jenseits der neutralen Zone ist, wenn der Ball gespielt wird.;Nein. Auch Offense-Spieler können im Offside sein, wenn sie Körperteile in der Neutral Zone haben (Lined up in the neutral zone).;"SECTION 4 ACTION AT OR BEFORE THE SNAP
ARTICLE 1. ...";1.0
1109;Reasoning & Synthesis;gpt-5-mini;8.333;0.0;0.0;835;16;0.0;1.92;Wann kann ein Touchback auftreten?;Dazu habe ich keine Informationen.;1. Kickoff landet in der Endzone. 2. Punt geht in die Endzone. 3. Interception/Fumble Recovery in der eigenen Endzone und der Spieler wird dort getackelt.;"SECTION 6 TOUCHBACK
ARTICLE 1. DEFINITION. It is a...";0.0
805;Regulatory Constraints;llama3.3:70b;5.326;0.065;5.144;2365;158;36512.66;30.71;Darf jeder Spieler den Ball fangen?;"Nein, nicht jeder Spieler darf den Ball fangen. Nur bestimmte Spieler sind als sog. ""eligible receivers"" (Artikel 5) berechtigt, einen Forward Pass zu fangen, der von hinter der Line of Scrimmage geworfen wird. Dazu gehören unter anderem defensive Spieler, offensive Spieler auf den Endpositionen der Line, die die entsprechenden Nummern tragen oder sich rechtzeitig gemeldet haben, sowie offensive Spieler, die mindestens einen Yard hinter der Line stehen und entweder die entsprechenden Nummern tragen oder sich rechtzeitig gemeldet haben. Andere Spieler sind als ""ineligible receivers"" (Artikel 6) definiert und dürfen den Ball nicht fangen.";Nein. Nur 'Eligible Receivers' (Enden der Linie, Backfield-Spieler) dürfen einen Vorwärtspass fangen. Linemen (Nr. 50-79) sind normalerweise nicht berechtigt.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";1.0
901;Out-of-Domain;llama3.1:8b;0.305;0.116;0.069;1570;8;13555.1;115.19;Darf ein Spieler Werbung für seine eigene Modemarke auf den Handschuhen tragen, um Gegner zu blocken?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 KICK FROM SCRIMMAGE
ARTICLE 1. KICK ON O...";1.0
105;Information Retrieval;llama3.1:8b;0.272;0.025;0.129;443;19;17604.6;147.43;Wie hoch muss die Querstange des Torpfostens über dem Boden sein?;Die Querstange (Crossbar) ist 10 Fuß über dem Boden.;Die Oberkante der Querstange muss 10 Fuß über dem Boden sein.;"SECTION 3 GOAL
ARTICLE 1. CROSSBAR. In the plane o...";1.0
1510;Out-of-Domain;gemini-3-flash-preview;3.422;0.0;0.0;796;7;0.0;2.05;Welche Technologiefirma stellt die Tablets her, die der Referee für das Instant Replay nutzt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 INITIATING A REPLAY REVIEW
ARTICLE 1. CO...";1.0
305;Reasoning & Synthesis;gemini-3-flash-preview;5.1;0.0;0.0;1789;63;0.0;12.35;Zwei gegnerische Spieler springen hoch, fangen den Ball gleichzeitig und landen beide sicher im Feld. Wessen Ball ist es?;Wenn ein Loose Ball gleichzeitig von zwei Gegnern kontrolliert wird und beide Spieler ihn behalten, handelt es sich um Simultaneous Possession. Der Ball gehört dem Team, das zuletzt in Ballbesitz war, oder dem Receiving Team, wenn ein Free Kick, Scrimmage Kick oder Fair Catch Kick vorausgegangen ist.;Das nennt sich 'Simultaneous Possession'. Der Ball gehört dem Team, das zuletzt im Ballbesitz war (Offense), oder bei einem Kick dem empfangenden Team (Receiving Team).;"SECTION 2 THE BALL AND POSSESSION OF THE BALL
ARTI...";1.0
1401;Information Retrieval;llama3.1:8b;0.259;0.082;0.072;1092;8;13268.59;111.68;Was ist ein 'Spot Foul'?;Dazu habe ich keine Informationen.;Ein Foul, bei dem die Strafe direkt von der Stelle aus verhängt wird, an der das Foul begangen wurde (und nicht vom vorherigen Startpunkt). Beispiele: Defensive Pass Interference.;"SECTION 3 SPOT FROM WHICH PENALTY IS ENFORCED
ARTI...";0.0
605;Regulatory Constraints;llama3.3:70b;0.461;0.078;0.255;3125;8;39871.63;31.32;Dürfen 2 Spieler des Receiving Teams einen gegnerischen Spieler beim Kickoff gemeinsam blocken?;Dazu habe ich keine Informationen.;Ja ein Double-Team Block ist unter bestimmten Voraussetzung erlaubt. Beide Blocker müssen sich in der Setup-Zone beim Kick aufstellen und den zu blockenden Spieler zeitgleich kontaktieren. Weiterer Spieler darf nicht am Blocken teilnehmen.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";0.0
520;Out-of-Domain;llama3.3:70b;18.698;1.245;0.296;1053;8;846.0;27.06;Wie hoch ist das Mindestgehalt für einen Rookie-Spieler laut Regelwerk?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 PLAYERS
ARTICLE 1. NUMBER OF PLAYERS. Th...";1.0
106;Information Retrieval;gpt-5-mini;9.15;0.0;0.0;397;22;0.0;2.4;Welche Farbe müssen die Torpfosten haben?;Die Torpfosten müssen bright gold (hellgold) sein.;Die Torpfosten müssen in hellem Gold gestrichen sein.;"SECTION 3 GOAL
ARTICLE 1. CROSSBAR. In the plane o...";1.0
606;Regulatory Constraints;llama3.3:70b;3.16;0.061;2.973;3115;91;51081.18;30.61;Wer muss beim Kickoff alles stillstehen und wie lange?;Beim Kickoff müssen alle Spieler der kicking team, außer dem Kicker, sowie alle Spieler der receiving team im Setup-Zone-Bereich stillstehen, bis der Ball gekickt wurde. Die Spieler der kicking team dürfen sich erst bewegen, nachdem der Ball gekickt wurde, während die Spieler der receiving team sich erst bewegen dürfen, nachdem der Ball gelandet oder von einem Spieler berührt wurde.;Alle Spieler des Kicking Teams außer dem Kicker müssen mit dem vorderen Fuß auf der Restraining Line des Kicking Teams aufgestellt sein und beide Füße müssen bis zum Kick auf dem Boden bleiben. Alle Spieler des Receiving Teams müssen inbounds und hinter ihrer Restraining Line stehen, und mindestens neun Spieler müssen in der Setup-Zone positioniert sein. Diese Regeln gelten ab dem Zeitpunkt, an dem der Kicker seinen Anlauf zum Ball beginnt, bis der Ball den Boden oder einen Spieler in der Landing Zone oder Endzone berührt.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";1.0
805;Regulatory Constraints;gpt-5-mini;7.417;0.0;0.0;2350;16;0.0;2.16;Darf jeder Spieler den Ball fangen?;Dazu habe ich keine Informationen.;Nein. Nur 'Eligible Receivers' (Enden der Linie, Backfield-Spieler) dürfen einen Vorwärtspass fangen. Linemen (Nr. 50-79) sind normalerweise nicht berechtigt.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";0.0
521;Out-of-Domain;gemini-3-flash-preview;4.53;0.0;0.0;4588;7;0.0;1.55;Wer ist dafür verantwortlich, die Trikots der Spieler nach dem Spiel zu waschen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 4 EQUIPMENT, UNIFORMS, PLAYER APPEARANCE
A...";1.0
1801;Out-of-Domain;llama3.1:8b;0.316;0.036;0.068;571;8;15842.22;117.83;Muss ein Teamkapitän mindestens 5 Jahre im Verein sein, um den goldenen Stern auf dem Trikot zu tragen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 GUIDELINES FOR CAPTAINS
ARTICLE 1. NUMBE...";1.0
308;Information Retrieval;llama3.3:70b;22.127;0.743;2.391;594;77;799.57;32.2;Was bedeutet 'Down'?;Ein Down ist eine Zeitspanne von Aktionen, die beginnt, wenn der Ball ins Spiel gebracht wird, und endet, wenn der Ball für tot erklärt wird. Es gibt verschiedene Arten von Downs, wie zum Beispiel Scrimmage Down, Free Kick Down und Fair Catch Kick Down, abhängig davon, wie das Down beginnt.;Ein 'Down' ist eine Zeiteinheit im Spiel, die mit dem Snap oder Kickoff beginnt und endet, wenn der Ball tot (Dead Ball) erklärt wird.;"SECTION 8 DOWN
ARTICLE 1. DOWN. A down is a period...";1.0
401;Information Retrieval;gpt-5-mini;9.194;0.0;0.0;2020;16;0.0;1.74;Wie viele Timeouts hat jedes Team im Spiel?;Dazu habe ich keine Informationen.;Jedes Team hat 3 Timeouts pro Halbzeit, also theoretisch 6 pro Spiel.;"SECTION 5 TIMEOUTS
ARTICLE 1. CHARGED TEAM TIMEOUT...";0.0
304;Reasoning & Synthesis;llama3.3:70b;1.454;0.569;0.742;868;23;1524.95;31.02;Ab wann wird ein Passing Play ein Running Play?;Ein Passing Play wird zu einem Running Play, wenn der Forward Pass von einem Spieler eines Teams gefangen wird.;Ein Passing Play wird zu einem Running Play, sobald der Vorwärtspass erfolgreich gefangen wurde.;"SECTION 24 PLAYS
ARTICLE 1. FREE KICK PLAY. A free...";1.0
605;Regulatory Constraints;llama3.1:8b;0.193;0.042;0.056;3125;8;74494.04;141.98;Dürfen 2 Spieler des Receiving Teams einen gegnerischen Spieler beim Kickoff gemeinsam blocken?;Dazu habe ich keine Informationen.;Ja ein Double-Team Block ist unter bestimmten Voraussetzung erlaubt. Beide Blocker müssen sich in der Setup-Zone beim Kick aufstellen und den zu blockenden Spieler zeitgleich kontaktieren. Weiterer Spieler darf nicht am Blocken teilnehmen.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";0.0
521;Out-of-Domain;llama3.3:70b;4.11;3.611;0.376;4614;8;1277.88;21.26;Wer ist dafür verantwortlich, die Trikots der Spieler nach dem Spiel zu waschen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 4 EQUIPMENT, UNIFORMS, PLAYER APPEARANCE
A...";1.0
703;Information Retrieval;llama3.1:8b;0.707;0.164;0.416;2055;61;12559.4;146.57;Was bedeutet Offside?;Ein Spieler ist offside, wenn ein Teil seines Körpers in oder jenseits der Neutralzone oder jenseits einer Einschränkungslinie für einen Onside-Kick liegt, wenn der Ball gespielt wird. (ARTICLE 5: OFFSIDE);Ein Spieler befindet sich beim Snap in oder jenseits der Neutral Zone.;"SECTION 4 ACTION AT OR BEFORE THE SNAP
ARTICLE 1. ...";1.0
803;Reasoning & Synthesis;gpt-5-mini;0.937;0.0;0.0;1943;16;0.0;17.07;Wenn der Ball gefumbelt wird, wer bekommt dann den Ball und wo geht es weiter?;Dazu habe ich keine Informationen.; Wenn der Ball gefumbelt wird, kann jeder Spieler beider Teams den Ball aufnehmen und vorwärts bewegen, außer wenn der Fumble im vierten Down, nach der Zwei-Minuten-Warnung oder während eines Trys passiert. Wenn der Fumble ins Aus geht, wird der Ball an dem Punkt wieder ins Spiel gebracht, an dem der Fumble ins Aus ging, abhängig davon, ob der Fumble vorwärts oder rückwärts ging. Wenn der Ball rückwärts ins Aus geht, bekommt das Team, das zuletzt den Ball hatte, den Ball an dem Punkt, an dem der Ball ins Aus ging. Wenn der Fumble vorwärts ins Aus geht, bekommt das Team, das zuletzt den Ball hatte, den Ball an dem Punkt des Fumbles. Wenn der Fumble in der eigenen Endzone nach vorne in Field of Play und dann ins Aus geht, führt das zu einem Safety, wenn das Team den Impuls gegeben hat, der den Ball in die Endzone gebracht hat. Wenn der Impuls vom Gegner kam, führt das zu einem Touchback. Wenn nichts davon zutrifft und es keinen Ballbesitzwechsel gab und der Ball nicht das first down erreicht hat, wird der Ball dem verteidigenden Team an dem Punkt gegeben, an dem der Ball für tot erklärt wurde.;"SECTION 7 BACKWARD PASS AND FUMBLE
ARTICLE 1. BACK...";0.0
201;Information Retrieval;llama3.1:8b;8.793;0.354;0.165;484;22;1368.7;133.21;Welcher Luftdruck ist für den Spielball vorgeschrieben?;Der Ball muss zwischen 12½ und 13½ Pfund luftgefüllt sein.;Der Ball muss auf 12 ½ bis 13 ½ Pfund (psi) aufgepumpt sein.;"SECTION 1 DIMENSIONS
The ball must be a “Wilson,” ...";1.0
1201;Information Retrieval;gpt-5-mini;9.727;0.0;0.0;5761;567;0.0;58.29;Nenne mir Aktionen, für die man ein Personal Foul bekommen kann.;"- Clipping (Blocking an opponent from behind below the waist gegen einen Non-Runner)
- Peel back block (Initiating side/below-the-waist Kontakt while sich toward own end line bewegend unter den genannten Bedingungen)
- Illegal blocking below the waist (in den im Text aufgeführten Situationen)
- Chop block (High/low Doppelblock gegen denselben Verteidiger)
- Crackback block (illegales Crackback gemäß Definition und verbotener Kontakt)
- Blindside block (forcible contact mit Helm/Unterarm/Schulter while path toward/parallel to own end line, außer in close-line play-Ausnahme)
- Unnecessary roughness (u. a. Leg whip, forcible contact eines Runners out of bounds, Running/Diving into gestoppten Runner, contact on ground, pulling off pile, unnötige Kontakt gegen Kicker/Punter etc.)
- Kontakt gegen einen Spieler in defenseless posture (z. B. forcible hit to head/neck, lowering head/helmet, illegal launch)
- Impermissible use of the helmet (lowering Kopf und forcible contact mit Helm; Benutzung von Helm/Facemask gegen Kopf/Hals)
- Roughing the passer (verschiedene Verstöße gegen einen Passer, z. B. Überschreiten der one-step-Regel, forcible hits, low hits in Kniebereich unter bestimmten Bedingungen)
- Roughing or running into the kicker (Roughing the kicker: Kontakt am plant leg while kicking leg in air; Running into the kicker: Kontakt an kicking leg/foot etc.; Roughing ist Personal Foul)
- Roughing the holder (forcible contact gegen Holder bei Place Kick, außer Ausnahmen)
- Striking, kicking, tripping or kneeing opponents (z. B. Schläge mit Fäusten, Kicken, Treten, Treten/Tripping, Schlagen des Kopf-/Halsbereichs mit Wrist/Arm/Elbow/Hand; bestimmte Ausnahmen für Palm contact)
- Twisting/pulling/turning the facemask or helmet opening (festhalten und drehen/ziehen des Facemasks)
- Horse-collar tackle (Greifen des inneren Kragens der Schulterpolster/Jersey und Ziehen des Runners toward ground)
- Use of helmet as a weapon (Benutzen eines nicht getragenen Helms als Waffe)
- Hip-drop tackle (Swiveling/dropping hips um Runner an/unter dem Knie zu trap/pinnen)
- Sonstige Personal Fouls (alle weiteren im Text nicht gelisteten Fouls, die 15 yards Strafe beinhalten)

(Dies sind die im Kontext aufgeführten Aktionen, die als Personal Foul geahndet werden.)";Dazu gehören Unnecessary Roughness, Facemask, Roughing the Passer/Kicker, Horse Collar Tackle, Clipping, Low Blocks, Striking/Kicking/Kneeing, Chop-,Crackback-,Blindside-,Peel-Back-,Cut-Block oder tief Blocken, Hip drop tackle, den Helm als Waffe benutzen oder gegen den Helm Tacklen, einen Spieler angreifen der sich nicht wehren kann.;"SECTION 2 PERSONAL FOULS
ARTICLE 1. CLIPPING. Clip...";1.0
308;Information Retrieval;gemini-3-flash-preview;6.316;0.0;0.0;568;37;0.0;5.86;Was bedeutet 'Down'?;Ein Down ist eine Aktionsperiode, die beginnt, wenn der Ball ins Spiel gebracht wird (put in play) und endet, wenn der Ball für tot (dead) erklärt wird.;Ein 'Down' ist eine Zeiteinheit im Spiel, die mit dem Snap oder Kickoff beginnt und endet, wenn der Ball tot (Dead Ball) erklärt wird.;"SECTION 8 DOWN
ARTICLE 1. DOWN. A down is a period...";1.0
309;Out-of-Domain;gpt-5-mini;6.125;0.0;0.0;335;16;0.0;2.61;Wie wird der 'Quarterback Rating' Wert statistisch genau berechnet?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 APPROVED RULING (A.R.)
An Approved Rulin...";1.0
602;Reasoning & Synthesis;gemini-3-flash-preview;38.443;0.0;0.0;3226;90;0.0;2.34;Was passiert, wenn der Ball beim Kickoff vom Kicking Tee fällt?;"Wenn der Ball vom Tee fällt, müssen die zuständigen Offiziellen das Spiel unterbrechen und den Zeitmessungsprozess ohne Strafe für das Kicking Team neu starten.

Fällt der Ball während desselben Free Kick Downs ein zweites Mal vom Tee, muss das Kicking Team den Ball unter Verwendung eines Designated Holder (bei einem Kickoff oder Safety Kick) oder eines Holders (bei einem Onside Kick) vom Tee kicken.";Das Spiel wird sofort unterbrochen, bevor ein Spielzug entstehen kann. Der Kickoff wird wiederholt. Falls der Ball ein zweites Mal während desselben Kickoff-Downs vom Tee fällt, muss der Kicker den Ball mit einem Holder kicken.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";1.0
705;Reasoning & Synthesis;gemini-3-flash-preview;26.404;0.0;0.0;2048;70;0.0;2.65;Ein Ballträger läuft ins Aus. Was gilt als Startpunkt für den nächsten Spielzug: Wo der Ball war oder wo der Ballträger war?;Der vordere Teil des Balls in seiner Position, wenn er für dead erklärt wird, ist der entscheidende Punkt für die Messung des gewonnenen oder verlorenen Abstands. Der Ball wird so rotiert, dass seine Längsachse parallel zu den Seitenlinien verläuft, während der vorderste Punkt beibehalten wird.;Der Spot ist dort, wo sich der Ball befand, genau in dem Moment, als der Ballträger mit einem Fuß oder einem anderem Körperteil die Seitenlinie berührte.;"SECTION 1 BALL IN PLAY
ARTICLE 1. LIVE BALL. After...";1.0
1401;Information Retrieval;llama3.3:70b;1.137;0.658;0.357;1092;8;1660.72;22.44;Was ist ein 'Spot Foul'?;Dazu habe ich keine Informationen.;Ein Foul, bei dem die Strafe direkt von der Stelle aus verhängt wird, an der das Foul begangen wurde (und nicht vom vorherigen Startpunkt). Beispiele: Defensive Pass Interference.;"SECTION 3 SPOT FROM WHICH PENALTY IS ENFORCED
ARTI...";0.0
106;Information Retrieval;llama3.1:8b;0.188;0.008;0.067;435;9;56591.22;134.86;Welche Farbe müssen die Torpfosten haben?;Die Torpfosten müssen golden sein.;Die Torpfosten müssen in hellem Gold gestrichen sein.;"SECTION 3 GOAL
ARTICLE 1. CROSSBAR. In the plane o...";1.0
1502;Information Retrieval;gpt-5-mini;6.018;0.0;0.0;3212;16;0.0;2.66;Gib eine Übersicht aller Aktionen, die ein Trainer anfechten (challengen) kann.;Dazu habe ich keine Informationen.;Folgende Spielsituationen können angefochten werden: Ob ein ein Spieler die Ballkontrolle hatte, ob ein Ball einen Spieler oder den Boden berührt hat, ob ein Läufer out of bounds war, ob ein Fumble vorlag, ob der Ball die Goal Line, die first down line oder die scrimmage line überquert hat, Anzahl der Spieler auf dem Feld, ob eine Strafe vorliegt, der Ball oder ein Foul richtig gespotted wurde, ob ein Spielzug wirklich beendet war, ob die Game Clock richtig ist, die disqualifikation eines Spielers, die richtung eines Passes, einen illegallen Pass oder Ballübergabe nach vorn, einen Fieldgoalversuch und ob der Ball ein aussenstehendes Objekt berüht hat. (Nicht challengebar: Fouls wie Holding oder Pass Interference, und alle Scores/Turnovers, da diese automatisch überprüft werden).;"SECTION 3 REVIEWABLE RULINGS
ARTICLE 1. PLAY SITUA...";0.0
301;Reasoning & Synthesis;gpt-5-mini;3.736;0.0;0.0;1741;187;0.0;50.05;Ab wann gilt ein Ball als gefangen?;"Ein Ball gilt als gefangen (Catch), wenn ein Spieler, der inbounds ist,
- die Kontrolle des Balls mit seinen Händen oder Armen erlangt und
- beide Füße oder ein anderer Teil seines Körpers (nicht die Hände) vollständig inbounds den Boden berühren
und
- nachdem die ersten beiden Voraussetzungen erfüllt sind, eindeutig eine zum Spiel gehörende Handlung ausführt (z. B. den Ball nach vorn strecken, einen weiteren Schritt machen, den Ball sichern und in Feldrichtung drehen oder einen Gegner abwehren).
Es ist nicht erforderlich, diese Handlung tatsächlich auszuführen, sofern der Spieler den Ball lange genug kontrolliert, um sie ausführen zu können.

Hinweis: Ein Catch liegt auch vor, wenn der Spieler den Ball vor dem Bodenkontakt sichert und diese Kontrolle während und nach dem Aufkommen des Balls auf dem Boden beibehält.";Ein Spieler muss den Ball mit den Händen oder Armen Kontrollieren und mit beiden Füßen den Boden Berühren. Wenn diese beiden Punkte erfüllt sind muss der Ball lange genug im Besitz bleiben um einen 'act common to the game' ausführen zu können, unabhängig davon ob die Aktion ausgeführt werden kann (z. B. den Ball wegstecken, ausweichen, den Ball vorstrecken), damit der Catch vollständig ist. ;"SECTION 2 THE BALL AND POSSESSION OF THE BALL
ARTI...";1.0
1103;Reasoning & Synthesis;llama3.1:8b;1.205;0.396;0.691;2845;105;7193.39;152.04;Kann man bei einem Fieldgoalversuch, wenn man das Fieldgoal blockt und den Ball in die gegnerische Endzone trägt, einen Touchdown erzielen?;"Ja, laut Artikel 3 (SUPPLEMENTAL NOTES) kann man bei einem Fieldgoalversuch, wenn man den Ball in die gegnerische Endzone bringt, einen Touchdown erzielen. Der Text besagt: ""If the receivers first touch the ball beyond the line of scrimmage in the field of play or in the end zone, and the kickers recover, the ball belongs to the kickers at the spot of recovery. If the recovery is in the end zone, it is a touchdown.""";Ja. Ein geblocktes Field Goal ist ein Live Ball (außer beim Try, da gelten Sonderregeln für 2 Punkte). Wenn die Defense ihn recovert, kann sie ihn zum Touchdown zurücktragen.;"SECTION 4 FIELD GOAL
ARTICLE 1. SUCCESSFUL FIELD G...";1.0
1108;Information Retrieval;gpt-5-mini;8.094;0.0;0.0;834;85;0.0;10.5;Was ist ein Touchback?;Ein Touchback liegt vor, wenn der Ball tot auf oder hinter der Torlinie der verteidigenden Mannschaft ist, vorausgesetzt der Impetus kommt vom Gegner und es ist kein Touchdown oder ein unvollständiger Vorwärtspass. Ein Ball im Endzone, der zum Spielfeld getragen wird, bleibt in der Endzone, bis der gesamte Ball im Spielfeld ist.;Eine Situation, bei der der Ball in der Endzone 'tot' wird (z.B. durch Kickoff oder Interception) und das verteidigende Team den Ballbesitz erhält, normalerweise an der 20- oder 30-Yard-Line.;"SECTION 6 TOUCHBACK
ARTICLE 1. DEFINITION. It is a...";1.0
303;Reasoning & Synthesis;llama3.1:8b;6.439;0.351;0.46;1782;70;5083.57;152.12;Was ist der Unterschied zwischen einem 'Live Ball' und einem 'Loose Ball'?;Ein Live Ball (ARTICLE 3) ist ein Ball, der in Spiel ist. Ein Loose Ball (ARTICLE 4) ist ein Live Ball, der nicht von einem Spieler gehalten wird, also ein Ball, der gekickt, geworfen oder gefumlt wurde und noch nicht von einem Spieler ergriffen wurde.;Ein 'Live Ball' ist jeder Ball, der aktiv im Spiel ist bzw gespielt wird. Ein 'Loose Ball' ist ein Live Ball, der sich nicht im Besitz eines Spielers befindet (z. B. ein Pass in der Luft, ein Fumble am Boden oder ein Kick).;"SECTION 2 THE BALL AND POSSESSION OF THE BALL
ARTI...";1.0
710;Out-of-Domain;llama3.3:70b;0.502;0.115;0.273;337;8;2942.57;29.25;Welche Marke von Wasserflaschen dürfen Spieler während einer Verletzungsunterbrechung nutzen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 BALL IN PLAY
ARTICLE 1. LIVE BALL. After...";1.0
108;Out-of-Domain;llama3.1:8b;0.187;0.013;0.061;743;8;58751.16;131.22;Wie hoch muss der Zaun um das Stadion sein, damit keine Fans auf das Feld laufen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 DIMENSIONS
ARTICLE 1. PLAYING LINES. The...";1.0
402;Out-of-Domain;llama3.3:70b;26.397;1.874;0.268;2055;8;1096.41;29.87;Wie lange darf die Werbeunterbrechung beim 'Two-Minute Warning' maximal dauern?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 5 TIMEOUTS
ARTICLE 1. CHARGED TEAM TIMEOUT...";1.0
603;Reasoning & Synthesis;gemini-3-flash-preview;71.782;0.0;0.0;2070;157;0.0;2.19;Was passiert, wenn der Ball beim Kickoff out of bounds landet?;"Das Kicking Team darf den Ball nicht out of bounds kicken oder als letztes berühren, bevor er zwischen den Goal Lines out of bounds geht. Geschieht dies dennoch, kann das Receiving Team wählen, den Ball an folgenden Stellen in Besitz zu nehmen:

* 25 Yards vom Spot of the kick entfernt an der Inbounds Line auf der Seite des Spielfelds, an der der Ball out of bounds gegangen ist.
* Am Out of Bounds Spot.
* An dem Spot, an dem der Ball landet, falls dies weniger als 25 Yards vom Spot of the kick entfernt ist.

Falls das Receiving Team den Ball als letztes berührt, bevor er out of bounds geht, bringt das Receiving Team den Ball am Inbounds Spot ins Spiel.";Das ist ein Foul. Wenn ein Kickoff oder Onside Kick versucht wurde darf die Offense wählen ob: der Ball am Spot des Fouls, oder 25 Yards vor dem Kick-Punkt. Wenn ein Saftey Kick versucht wurde sind es 30 Yards.;"SECTION 2 OTHER FREE KICK FOULS
ARTICLE 1. BLOCKIN...";1.0
303;Reasoning & Synthesis;llama3.3:70b;4.395;0.071;4.255;1782;134;25135.85;31.49;Was ist der Unterschied zwischen einem 'Live Ball' und einem 'Loose Ball'?;"Ein 'Live Ball' ist ein Ball, der im Spiel ist. Er wird zu einem Live Ball, wenn er auf bestimmte Weise in das Spiel gebracht wird, wie zum Beispiel durch einen legalen Kick auf einem Free Kick Down oder einem legalen Snap auf einem Scrimmage Down.

Ein 'Loose Ball' hingegen ist ein Live Ball, der sich nicht im Besitz eines Spielers befindet. Das bedeutet, dass er gekickt, geworfen oder fumbled wurde und noch nicht von einem Spieler gesichert wurde. Ein Loose Ball bleibt solange im Spiel, bis ein Spieler ihn sichert oder der Ball tot wird.";Ein 'Live Ball' ist jeder Ball, der aktiv im Spiel ist bzw gespielt wird. Ein 'Loose Ball' ist ein Live Ball, der sich nicht im Besitz eines Spielers befindet (z. B. ein Pass in der Luft, ein Fumble am Boden oder ein Kick).;"SECTION 2 THE BALL AND POSSESSION OF THE BALL
ARTI...";1.0
205;Information Retrieval;gpt-5-mini;2.018;0.0;0.0;442;23;0.0;11.4;Welche Farbe muss der Ball haben?;"Der Ball muss naturtannfarben (""natural tan color"") sein.";Er muss eine natürliche Bräunung haben.;"SECTION 1 DIMENSIONS
The ball must be a “Wilson,” ...";1.0
1103;Reasoning & Synthesis;llama3.3:70b;23.559;2.466;2.646;2845;80;1153.64;30.23;Kann man bei einem Fieldgoalversuch, wenn man das Fieldgoal blockt und den Ball in die gegnerische Endzone trägt, einen Touchdown erzielen?;Ja, wenn ein Team einen Fieldgoalversuch blockt und den Ball in die eigene Endzone zurückträgt, kann es keinen Touchdown erzielen. Wenn jedoch das Team, das den Fieldgoalversuch blockt, den Ball aufnehmen und in die Endzone der gegnerischen Mannschaft tragen kann, dann kann es einen Touchdown erzielen.;Ja. Ein geblocktes Field Goal ist ein Live Ball (außer beim Try, da gelten Sonderregeln für 2 Punkte). Wenn die Defense ihn recovert, kann sie ihn zum Touchdown zurücktragen.;"SECTION 4 FIELD GOAL
ARTICLE 1. SUCCESSFUL FIELD G...";0.5
